Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
LOS LAGOS,58,HUITRAPULLI,SAN JUAN DE LA COSTA,1,1,1,659,True
ÑUBLE,59,QUILE,COBQUECURA,1,1,1,27,True
LOS LAGOS,60,2,COCHAMO,1,1,1,174,True
LA ARAUCANIA,61,LA HERRADURA,LUMACO,1,1,1,733,True
LOS LAGOS,62,COGOMO,ANCUD,1,1,1,133,True
BIOBIO,63,11R,MULCHEN,1,1,1,124,True
ARICA Y PARINACOTA,64,5,CAMARONES,1,1,1,103,True
COQUIMBO,65,PAMPA ARRIBA,COMBARBALA,1,1,1,116,True
LA ARAUCANIA,66,CERRO NEGRO,ANGOL,1,1,1,129,True
LOS LAGOS,67,CHAULINEC,QUINCHAO,1,1,1,449,True
MAULE,68,LOS CANELOS,LONGAVI,1,1,1,98,True
LA ARAUCANIA,69,MATTE Y SANCHEZ,CARAHUE,1,1,1,804,True
ATACAMA,70,LAS BREAS,ALTO DEL CARMEN,1,1,1,334,True
ÑUBLE,71,021R,SAN CARLOS,1,1,1,288,True
LA ARAUCANIA,72,NOHUALHUE,TEODORO SCHMIDT,1,1,1,449,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,73,SIN DEF COMUNAL,RIO IBANEZ,1,1,1,1,False
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,74,EL AVELLANO,RIO IBANEZ,1,1,1,8,True
ÑUBLE,75,1R,SAN FABIAN,1,1,1,381,True
ANTOFAGASTA,76,SIN DEF COMUNAL,TALTAL,1,1,1,336,False
LA ARAUCANIA,77,VILLA COYANCO,ANGOL,1,1,1,77,True
BIOBIO,78,11R,TIRUA,1,1,1,96,True
BIOBIO,79,TRONGOL BAJO,CURANILAHUE,1,1,1,64,True
MAULE,80,5,PELLUHUE,1,1,2,433,True
LOS LAGOS,81,14R,HUALAIHUE,1,1,1,65,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,82,12R,AYSEN,1,1,1,446,True
ARICA Y PARINACOTA,83,7,CAMARONES,1,1,2,26,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,84,RIO CISNES,LAGO VERDE,1,1,1,177,True
ÑUBLE,85,EL MANZANO,QUIRIHUE,1,1,1,45,True
ATACAMA,86,ALGARROBAL,VALLENAR,1,1,1,155,True
COQUIMBO,87,ALHUEMILLA,CANELA,1,1,1,146,True
LA ARAUCANIA,88,RELUN,LUMACO,1,1,1,271,True
ARICA Y PARINACOTA,89,CHUJLLUTA,GENERAL LAGOS,1,1,2,59,True
ÑUBLE,90,COPIULEMU,COBQUECURA,1,1,1,9,True
ARICA Y PARINACOTA,91,ANCOLACANE,GENERAL LAGOS,1,1,2,45,True
LA ARAUCANIA,92,LOS ALPES,ANGOL,1,1,1,13,True
LOS LAGOS,93,PUCOMO,SAN JUAN DE LA COSTA,1,1,1,864,True
ÑUBLE,94,EL CASTILLO,COBQUECURA,1,1,2,89,True
LA ARAUCANIA,95,PINGUIDAHUE,PUREN,1,1,1,233,True
BIOBIO,96,005,CONTULMO,1,1,3,261,True
ÑUBLE,97,9R,QUILLON,1,1,2,9,True
COQUIMBO,98,SIN DEF COMUNAL,VICUNA,1,1,1,462,False
LOS LAGOS,99,CALETA HUELLELHUE,RIO NEGRO,1,1,1,69,True
ATACAMA,100,JUNTA DE VALERIANO,ALTO DEL CARMEN,1,1,1,176,True
COQUIMBO,101,008,PUNITAQUI,1,1,1,161,True
LA ARAUCANIA,102,LONCOYAN,PUREN,1,1,1,787,True
LOS LAGOS,103,17R,HUALAIHUE,1,1,1,22,True
LOS LAGOS,104,HUELLELHUE,RIO NEGRO,1,1,1,53,True
ÑUBLE,105,CONCUYO,QUIRIHUE,1,1,1,130,True
LA ARAUCANIA,106,ALBOYANCO,ANGOL,1,1,1,73,True
LOS LAGOS,107,PUCATRIHUE,SAN JUAN DE LA COSTA,1,1,1,933,True
TARAPACA,108,011,HUARA,1,1,1,27,True
LA ARAUCANIA,109,ALLIHUEN,LONCOCHE,1,1,1,817,True
ÑUBLE,110,06R,NIQUEN,1,1,1,1326,True
LOS LAGOS,111,13R,HUALAIHUE,1,1,1,179,True
ÑUBLE,112,11R,PORTEZUELO,1,1,1,78,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,113,FACHINAL,CHILE CHICO,1,1,1,41,True
LOS RIOS,114,TRES CHIFLONES,CORRAL,1,1,1,134,True
VALPARAISO,115,003,EL QUISCO,1,1,1,10874,True
