series,territory_code,roles,primary_h,positive_h_line_roles,non_h_with_h_line,excluded_common,excluded_matrix,unresolved,eligible_non_h_h,agricultural_p_only,primary_h_without_positive_h_line
N,6110,9629,6916,6959,117,2,0,0,115,0,74
N,6111,4486,3121,3092,65,3,0,0,62,0,94
N,6112,4778,4035,3947,51,1,0,0,50,0,139
N,6113,6798,5319,5124,60,0,0,0,60,0,255
N,6114,4924,4014,3998,49,0,0,0,49,0,65
N,6115,24133,21758,22001,264,2,0,0,262,0,21
N,6116,10264,7761,7856,172,0,0,0,172,0,77
N,6117,16884,14065,13812,220,0,0,0,220,0,473
N,6201,16951,9702,9853,228,1,0,0,227,0,77
N,6202,5226,1108,1079,20,1,0,0,19,0,49
N,6203,9653,1980,2083,131,2,0,0,129,0,28
N,6204,6787,2005,1986,45,0,0,0,45,0,64
N,6205,6185,2064,1905,46,0,0,0,46,0,205
N,6206,9410,1904,1871,37,0,0,0,37,0,70
N,6301,33356,28290,28706,446,9,0,0,437,0,30
N,6302,6960,4699,4531,37,0,0,0,37,0,205
N,6303,13151,9884,9958,121,0,0,0,121,0,47
N,6304,3857,1856,1872,19,0,0,0,19,0,3
N,6305,6906,5603,5668,75,0,0,0,75,0,10
N,6306,4982,3202,3228,28,0,0,0,28,0,2
N,6307,5799,3346,3371,57,0,0,0,57,0,32
N,6308,3122,2105,2120,39,0,0,0,39,0,24
N,6309,3483,891,914,24,0,0,0,24,0,1
N,6310,17551,13564,13688,226,10,0,0,216,0,102
N,7101,117321,95472,96459,1187,52,0,0,1135,0,200
N,7102,18987,15980,16227,261,4,0,0,257,0,14
N,7103,3783,2673,2696,28,0,0,0,28,0,5
N,7104,1391,1035,1037,4,0,0,0,4,0,2
N,7105,22698,20182,20257,79,0,0,0,79,0,4
N,7106,3573,1940,1951,15,0,0,0,15,0,4
N,7107,4148,2573,2589,18,0,0,0,18,0,2
N,7108,4977,3571,3585,18,0,0,0,18,0,4
N,7109,17946,12836,12948,118,1,0,0,117,0,6
N,7110,3750,2689,2707,23,0,0,0,23,0,5
N,7201,24623,16475,16667,218,2,0,0,216,0,26
N,7202,3017,1959,1982,25,0,0,0,25,0,2
N,7203,7198,3838,3935,105,0,0,0,105,0,8
N,7301,68284,57410,58040,662,47,0,0,615,0,32
N,7302,5996,3272,3340,72,0,0,0,72,0,4
N,7303,4386,2592,2662,76,0,0,0,76,0,6
N,7304,19440,16505,16713,218,0,0,0,218,0,10
N,7305,4149,3164,3190,28,0,0,0,28,0,2
N,7306,6317,4576,4647,74,0,0,0,74,0,3
N,7307,6332,4887,4966,87,0,0,0,87,0,8
N,7308,10460,7089,7174,97,0,0,0,97,0,12
N,7309,5590,2369,2397,33,1,0,0,32,0,5
N,7401,42536,34421,34926,537,2,0,0,535,0,32
