scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,3303,Freirina,Atacama,True,True,4395,2327,2327,0,39,2366,2068,2068,2029,2029,39,39
commune,3304,Huasco,Atacama,True,True,7358,4160,4160,0,71,4231,3198,3198,3127,3127,71,71
commune,4101,La Serena,Coquimbo,True,True,109413,101350,101384,34,805,102189,8029,8029,7224,7224,805,805
commune,4102,Coquimbo,Coquimbo,True,True,113054,97690,97714,24,753,98467,15340,15340,14587,14587,753,753
commune,4103,Andacollo,Coquimbo,True,True,5126,3977,3980,3,62,4042,1146,1146,1084,1084,62,62
commune,4104,La Higuera,Coquimbo,True,True,3214,2230,2230,0,13,2243,984,984,971,971,13,13
commune,4105,Paihuano,Coquimbo,True,True,2888,1896,1898,2,31,1929,990,990,959,959,31,31
commune,4106,Vicuña,Coquimbo,True,True,12035,9981,9983,2,84,10067,2052,2052,1968,1968,84,84
commune,4201,Illapel,Coquimbo,True,True,14196,9596,9596,0,132,9728,4600,4600,4468,4468,132,132
commune,4202,Canela,Coquimbo,True,True,5778,3281,3281,0,24,3305,2497,2497,2473,2473,24,24
commune,4203,Los Vilos,Coquimbo,True,True,14207,10295,10302,7,146,10448,3905,3905,3759,3759,146,146
commune,4204,Salamanca,Coquimbo,True,True,12135,8667,8672,5,183,8855,3463,3463,3280,3280,183,183
commune,4301,Ovalle,Coquimbo,True,True,49637,39754,39763,9,330,40093,9874,9874,9544,9544,330,330
commune,4302,Combarbalá,Coquimbo,True,True,7644,5903,5910,7,56,5966,1734,1734,1678,1678,56,56
commune,4303,Monte Patria,Coquimbo,True,True,14465,10661,10667,6,63,10730,3798,3798,3735,3735,63,63
commune,4304,Punitaqui,Coquimbo,True,True,5889,3407,3411,4,27,3438,2478,2478,2451,2451,27,27
commune,4305,Río Hurtado,Coquimbo,True,True,2911,1790,1791,1,30,1821,1120,1120,1090,1090,30,30
