codigo_comuna,comuna,region,conara_sources,source_available,dwellings_2024,vacant_2024,households_2024,occupied_private_dwellings_2024,irrecoverable_type_dwellings_2024,irrecoverable_materiality_dwellings_2024,irrecoverable_dwellings_2024,residential_roles_2026s1,signed_gap,coverage_pct,camp_polygons_2026,camp_census_households_observed_2024,camp_census_count_missing_polygons,camp_catalog_households_2026,camp_sensitivity_signed_gap,camp_sensitivity_positive_gap,camp_absorbed_positive_gap,camp_absorbed_positive_gap_pct,camp_adjustment_status,historical_conara_sources,historical_source_available,residential_roles_2024s2,gap_2024s2,roles_without_coordinates,parent_references,net_mean_annual_clp,net_median_annual_clp,net_positive_share,net_positive_mean_annual_clp,net_positive_median_annual_clp,scenario_q0_clp,scenario_q025_clp,scenario_q05_clp,scenario_q1_clp,fiscal_status
10202,Ancud,Los Lagos,10406,True,19842,2937,15668,15566,50,33,82,11768,8074,59.30853744582199,1,26,0,39,8048,8048,26,0.32202130294773346,complete_census_count,10406,True,11388,8454,2166,0,,,,,,,,,,blocked_components
10203,Chonchi,Los Lagos,10402,True,8286,1610,6355,6308,71,28,99,2709,5577,32.69370021723389,0,0,0,0,5577,5577,0,0.0,no_current_camp_polygon,10402,True,2480,5806,539,0,,,,,,,,,,blocked_components
10204,Curaco de Vélez,Los Lagos,10410,True,1915,417,1423,1418,11,1,11,669,1246,34.93472584856397,0,0,0,0,1246,1246,0,0.0,no_current_camp_polygon,10410,True,641,1274,258,0,,,,,,,,,,blocked_components
10205,Dalcahue,Los Lagos,10408,True,7222,1354,5610,5590,21,17,38,2777,4445,38.45195236776516,0,0,0,0,4445,4445,0,0.0,no_current_camp_polygon,10408,True,2674,4548,1372,0,,,,,,,,,,blocked_components
10206,Puqueldón,Los Lagos,10405,True,2091,510,1556,1546,3,7,10,459,1632,21.951219512195124,0,0,0,0,1632,1632,0,0.0,no_current_camp_polygon,10405,True,436,1655,16,0,,,,,,,,,,blocked_components
10207,Queilén,Los Lagos,10403,True,3139,837,2237,2226,4,3,7,1256,1883,40.01274291175534,0,0,0,0,1883,1883,0,0.0,no_current_camp_polygon,10403,True,1052,2087,310,0,,,,,,,,,,blocked_components
10208,Quellón,Los Lagos,10404,True,13470,1991,10859,10757,197,43,234,5268,8202,39.10913140311804,5,34,2,114,8168,8168,34,0.41453304072177516,partial_census_count,10404,True,5111,8359,1511,0,,,,,,,,,,blocked_components
10209,Quemchi,Los Lagos,10407,True,4650,1193,3373,3361,60,12,71,985,3665,21.182795698924732,1,8,0,10,3657,3657,8,0.21828103683492497,complete_census_count,10407,True,934,3716,247,0,,,,,,,,,,blocked_components
10210,Quinchao,Los Lagos,10415,True,4148,995,3011,3004,222,8,227,1272,2876,30.665380906460946,0,0,0,0,2876,2876,0,0.0,no_current_camp_polygon,10415,True,1236,2912,658,0,,,,,,,,,,blocked_components
10301,Osorno,Los Lagos,10201,True,68725,3898,62545,61741,776,452,1143,55834,12891,81.24263368497635,21,849,2,1275,12042,12042,849,6.585990225738888,partial_census_count,10201,True,53722,15003,4298,0,,,,,,,,,,blocked_components
10302,Puerto Octay,Los Lagos,10203,True,5289,1751,3349,3310,22,13,34,1674,3615,31.650595575723198,2,34,0,50,3581,3581,34,0.9405255878284924,complete_census_count,10203,True,1435,3854,668,0,,,,,,,,,,blocked_components
10303,Purranque,Los Lagos,10206,True,8704,950,7304,7190,20,30,50,5305,3399,60.94898897058823,0,0,0,0,3399,3399,0,0.0,no_current_camp_polygon,10206,True,5073,3631,725,0,,,,,,,,,,blocked_components
10304,Puyehue,Los Lagos,10204,True,5982,1306,4404,4373,25,21,46,2582,3400,43.162821798729524,0,0,0,0,3400,3400,0,0.0,no_current_camp_polygon,10204,True,2440,3542,630,0,,,,,,,,,,blocked_components
10305,Río Negro,Los Lagos,10205,True,6488,829,5269,5221,76,54,125,3261,3227,50.262022194821206,1,21,0,8,3206,3206,21,0.6507592190889371,complete_census_count,10205,True,3191,3297,1380,0,,,,,,,,,,blocked_components
10306,San Juan de la Costa,Los Lagos,10207,True,6794,3269,3340,3329,98,29,123,1187,5607,17.47129820429791,0,0,0,0,5607,5607,0,0.0,no_current_camp_polygon,10207,True,1148,5646,381,0,,,,,,,,,,blocked_components
