estimate,weighted_denominator,se,ci_low,ci_high,n_psu,n_strata,design_df,ci_status,scope,territory_code,territory_name,unit,denominator_definition,weight,n_households,n_valid,n_missing,n_flagged,selection_note
0.03545568039950062,8010.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5803,Olmué,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,81,81,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.03801749711845511,52923.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5804,Villa Alemana,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,533,533,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0014169572601473233,99509.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6101,Rancagua,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,1308,1308,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.01313755795981453,5176.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6102,Codegua,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,79,79,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.024091465904450795,2449.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6103,Coinco,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,56,56,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,7762.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6104,Coltauco,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,94,94,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.015277605266426532,8051.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6105,Doñihue,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,124,124,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,12824.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6106,Graneros,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,200,200,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.007722007722007722,10360.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6107,Las Cabras,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,115,115,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.011174458380843785,21925.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6108,Machalí,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,284,284,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,4984.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6109,Malloa,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,76,76,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.026095617529880478,10040.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6110,Mostazal,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,143,143,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,4813.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6111,Olivar,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,104,104,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,6364.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6112,Peumo,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,103,103,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,7834.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6113,Pichidegua,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,98,98,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,5164.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6114,Quinta de Tilcoco,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,75,75,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.004820499809717113,23649.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6115,Rengo,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,281,281,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.029212566299469604,12255.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6116,Requínoa,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,130,130,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.01927382458872773,20546.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6117,San Vicente,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,278,278,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.009718670076726343,7820.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,6201,Pichilemu,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,167,167,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
